code,rank,name,kor_name,up,down,common_rank,efficiency_rank,discription,link
CDL3LINESTRIKE_Bull,1,Bullish Three Line Strike,강세삼선반격형,35,65,j,a+,"특징:
- 처음 세 개의 작은 상승 캔들로 시작하며, 이 캔들들은 연속적으로 이전 캔들의 종가보다 높게 마감합니다. 네 번째 캔들은 직전 캔들보다 높은 시가로 시작하여, 앞선 세 개의 캔들의 상승을 모두 상쇄하고, 가장 앞선 캔들의 종가 아래에서 마감합니다.
발생 이유:
- 시장에서 강력한 매도 압력이 일시적으로 시장을 지배했으나, 기본적인 매수세는 여전히 강력하다는 것을 반영합니다. 네 번째 캔들에서의 급격한 하락은 일부 투자자들의 이익 실현 또는 시장의 과도한 반응을 나타낼 수 있으며, 이는 곧 시정될 수 있음을 시사합니다.
예상 주가 동향:
- 패턴이 나타난 지점이 강력한 지지선으로 작용할 수 있으며, 일반적으로 상승 추세로 전환될 가능성이 높습니다.",
CDL3LINESTRIKE_Bear,2,Bearish Three Line Strike,약세삼선반격형,84,16,j,a+,"특징:
- 상승 추세 중 처음 세 개의 하락 캔들로 시작하여, 이 세 캔들은 각각 이전 캔들의 종가보다 낮게 마감합니다. 네 번째 캔들은 직전 캔들의 시가 아래에서 시작하여, 이전의 세 개의 하락 캔들로 인한 손실을 상쇄하고, 가장 앞선 캔들의 종가를 넘어서 마감합니다.
발생 이유:
- 시장에서의 일시적인 약세가 있었으나, 이후 강력한 매수세가 시장을 다시 지배하기 시작했음을 나타냅니다.
예상 주가 동향:
- 네 번째 캔들에서 나타난 강력한 매수세가 시장의 방향을 결정하는 주요 요소로 작용하여, 일반적으로 시장이 이전의 상승 추세를 재개할 가능성이 높습니다.",
CDL3BLACKCROWS_Bull,3,Three Black Crows,흑삼병,22,78,f-,a+,"특징:
- 세 개의 연속된 긴 몸통을 가진 하락 캔들로 구성됩니다. 각 캔들의 시가는 이전 캔들의 몸통 내부에서 시작하나, 각 캔들의 종가는 이전 캔들의 종가보다 낮습니다.
발생 이유:
- 시장에서 매도세가 우세해지며, 이전의 상승 추세에 대한 강력한 반전 신호를 제공합니다.
예상 주가 동향:
- 상승 추세가 끝났으며, 시장 참여자들 사이에서 매도 압력이 강해지고 있음을 나타내기 때문에 일반적으로 추가적인 하락이 예상됩니다.",
CDL3BLACKCROWS_Bear,3,Three Black Crows,흑삼병,22,78,f-,a+,"특징:
- 세 개의 연속된 긴 몸통을 가진 하락 캔들로 구성됩니다. 각 캔들의 시가는 이전 캔들의 몸통 내부에서 시작하나, 각 캔들의 종가는 이전 캔들의 종가보다 낮습니다.
발생 이유:
- 시장에서 매도세가 우세해지며, 이전의 상승 추세에 대한 강력한 반전 신호를 제공합니다.
예상 주가 동향:
- 상승 추세가 끝났으며, 시장 참여자들 사이에서 매도 압력이 강해지고 있음을 나타내기 때문에 일반적으로 추가적인 하락이 예상됩니다.",
CDLEVENINGSTAR_Bull,4,Evening Star Pattern,저녁별 패턴,28,72,h+,a,"특징:
- 첫 번째 캔들은 긴 상승 캔들로 구성됩니다. 두 번째 캔들은 작은 몸통의 캔들로 시가와 종가가 첫 번째 캔들의 종가 근처에서 발생합니다. 세 번째 캔들은 직전 캔들의 중간 지점 이하로 내려가는 긴 하락 캔들입니다.
발생 이유:
- 두 번째 캔들에서 나타나는 불확실성 뒤에 나타나는 세 번째 캔들의 강한 하락은 매수세가 약해지고 매도세가 지배적으로 변화하고 있음을 나타냅니다.
예상 주가 동향:
- 추후 시장에서 하락 추세가 계속될 가능성이 높습니다.",
CDLEVENINGSTAR_Bear,4,Evening Star Pattern,저녁별 패턴,28,72,h+,a,"특징:
- 첫 번째 캔들은 긴 상승 캔들로 구성됩니다. 두 번째 캔들은 작은 몸통의 캔들로 시가와 종가가 첫 번째 캔들의 종가 근처에서 발생합니다. 세 번째 캔들은 직전 캔들의 중간 지점 이하로 내려가는 긴 하락 캔들입니다.
발생 이유:
- 두 번째 캔들에서 나타나는 불확실성 뒤에 나타나는 세 번째 캔들의 강한 하락은 매수세가 약해지고 매도세가 지배적으로 변화하고 있음을 나타냅니다.
예상 주가 동향:
- 추후 시장에서 하락 추세가 계속될 가능성이 높습니다.",
CDLTASUKIGAP_Bull,5,Upside Tasuki Gap,상승 타스키갭 패턴,57,43,h,a,"특징:
- 첫 번째 캔들은 긴 상승 캔들로 구성됩니다. 두 번째 캔들은 첫 번째 캔들의 종가보다 높은 곳에서 시작하여 상승 캔들을 형성 합니다. 이때 ,두 캔들 사이에 갭이 형성되어야 합니다. 세 번째 캔들은 직전 캔들의 몸통을 일부 덮는 하락 캔들이며, 직전 캔들의 종가 위에서 시작하고 종가가 갭 아래에서 형성되면 안됩니다.
발생 이유:
- 시장의 강세가 지속되고 있음을 나타내며, 매수세가 여전히 강력하다는 신호를 제공합니다.
예상 주가 동향:
- 갭이 유지되는 동안 나타나는 매도 압력이 상승 추세를 방해하지 못함을 나타내므로, 상승 추세가 계속될 가능성이 높습니다.",
CDLTASUKIGAP_Bear,5,Downside Tasuki Gap,하락 타스키갭 패턴,54,46,g-,c+,"특징:
- 첫 번째 캔들은 긴 하락 캔들로 구성됩니다. 두 번째 캔들은 첫 번째 캔들의 종가보다 낮은 곳에서 시작하여 하락 캔들을 형성합니다. 이때, 두 캔들 사이에 갭이 형성되어야 합니다. 세 번째 캔들은 직전 캔들의 몸통 일부를 덮는 상승 캔들이며, 직전 캔들의 종가 아래에서 시작하고 종가가 갭 위에 형성되면 안됩니다. 
발생 이유:
- 시장의 약세가 지속되고 있음을 나타내며, 매도세가 여전히 강력하다는 신호를 제공합니다.
예상 주가 동향:
- 갭이 유지되는 동안 나타나는 매수 압력이 하락 추세를 방해하지 못함을 나타내므로, 하락 추세가 계속될 가능성이 높습니다.",
CDLINVERTEDHAMMER_Bull,6,Inverted Hammer Candlestick,역망치 캔들,35,65,g+,a,"특징:
- 캔들의 몸통은 상대적으로 작으며, 시가와 종가가 서로 가까이 위치합니다. 또한, 캔들의 윗꼬리가 매우 길며, 아랫꼬리는 없거나 매우 짧습니다.
발생 이유:
- 역망치 캔들이 하락 추세의 끝에서 형성될 때, 이는 매도세가 소진되고 매수세가 시장에 진입하기 시작했음을 나타냅니다.
예상 주가 동향:
- 역망치 캔들이 나타난 후, 특히 다음 캔들이 더 높은 시가와 종가를 가질 때, 하락 추세가 끝나고 새로운 상승 추세가 시작될 수 있음을 암시하는 중요한 신호로 간주됩니다.",
CDLINVERTEDHAMMER_Bear,6,Inverted Hammer Candlestick,역망치 캔들,35,65,g+,a,"특징:
- 캔들의 몸통은 상대적으로 작으며, 시가와 종가가 서로 가까이 위치합니다. 또한, 캔들의 윗꼬리가 매우 길며, 아랫꼬리는 없거나 매우 짧습니다.
발생 이유:
- 역망치 캔들이 하락 추세의 끝에서 형성될 때, 이는 매도세가 소진되고 매수세가 시장에 진입하기 시작했음을 나타냅니다.
예상 주가 동향:
- 역망치 캔들이 나타난 후, 특히 다음 캔들이 더 높은 시가와 종가를 가질 때, 하락 추세가 끝나고 새로운 상승 추세가 시작될 수 있음을 암시하는 중요한 신호로 간주됩니다.",
