value,label
KRX:005930,삼성전자
KRX:000660,SK하이닉스
KRX:373220,LG에너지솔루션
KRX:207940,삼성바이오로직스
KRX:005380,현대차
KRX:005935,삼성전자우
KRX:000270,기아
KRX:068270,셀트리온
KRX:005490,POSCO홀딩스
KRX:051910,LG화학
KRX:035420,네이버
KRX:028260,삼성물산
KRX:006400,삼성SDI
KRX:105560,KB금융
KRX:003670,포스코퓨처엠
KRX:035720,카카오
KRX:012330,현대모비스
KRX:055550,신한지주
KRX:032830,삼성생명
KRX:138040,메리츠금융지주
KRX:086790,하나금융지주
KRX:015760,한국전력
KRX:066570,LG전자
KRX:003550,LG
KRX:000810,삼성화재
KRX:034730,SK
KRX:323410,카카오뱅크
KRX:450080,에코프로머티
KRX:011200,HMM
KRX:033780,KT&G
KRX:018260,삼성에스디에스
KRX:096770,SK이노베이션
KRX:017670,SK텔레콤
KRX:316140,우리금융지주
KRX:024110,기업은행
KRX:259960,크래프톤
KRX:329180,HD현대중공업
KRX:009150,삼성전기
KRX:034020,두산에너빌리티
KRX:030200,KT
KRX:047050,포스코인터내셔널
KRX:402340,SK스퀘어
KRX:012450,한화에어로스페이스
KRX:010130,고려아연
KRX:010950,S-Oil
KRX:003490,대한항공
KRX:352820,하이브
KRX:042700,한미반도체
KRX:022100,포스코DX
KRX:009540,HD한국조선해양
KRX:326030,SK바이오팜
KRX:042660,한화오션
KRX:086280,현대글로비스
KRX:090430,아모레퍼시픽
KRX:005830,DB손해보험
KRX:010140,삼성중공업
KRX:161390,한국타이어앤테크놀로지
KRX:066970,엘앤에프
KRX:377300,카카오페이
KRX:005387,현대차2우B
KRX:005070,코스모신소재
KRX:001570,금양
KRX:267250,HD현대
KRX:088980,맥쿼리인프라
KRX:006800,미래에셋증권
KRX:000100,유한양행
KRX:251270,넷마블
KRX:011170,롯데케미칼
KRX:361610,SK아이이테크놀로지
KRX:047810,한국항공우주
KRX:051900,LG생활건강
KRX:028050,삼성엔지니어링
KRX:004020,현대제철
KRX:454910,두산로보틱스
KRX:011070,LG이노텍
KRX:009830,한화솔루션
KRX:302440,SK바이오사이언스
KRX:241560,두산밥캣
KRX:097950,CJ제일제당
KRX:032640,LG유플러스
KRX:267260,HD현대일렉트릭
KRX:078930,GS
KRX:029780,삼성카드
KRX:128940,한미약품
KRX:036570,엔씨소프트
KRX:011780,금호석유
KRX:180640,한진칼
KRX:307950,현대오토에버
KRX:034220,LG디스플레이
KRX:021240,코웨이
KRX:071050,한국금융지주
KRX:005940,NH투자증권
KRX:000720,현대건설
KRX:005385,현대차우
KRX:035250,강원랜드
KRX:016360,삼성증권
KRX:271560,오리온
KRX:064350,현대로템
KRX:003410,쌍용C&E
KRX:039490,키움증권
KRX:018880,한온시스템
KRX:004990,롯데지주
KRX:079550,LIG넥스원
KRX:272210,한화시스템
KRX:011790,SKC
KRX:008930,한미사이언스
KRX:000120,CJ대한통운
KRX:006260,LS
KRX:001040,CJ
KRX:001450,현대해상
KRX:383220,F&F
KRX:088350,한화생명
KRX:052690,한전기술
KRX:036460,한국가스공사
KRX:028670,팬오션
KRX:175330,JB금융지주
KRX:010620,현대미포조선
KRX:138930,BNK금융지주
KRX:002380,KCC
KRX:008770,호텔신라
KRX:007070,GS리테일
KRX:081660,휠라홀딩스
KRX:051915,LG화학우
KRX:282330,BGF리테일
KRX:278470,에이피알
KRX:012750,에스원
KRX:000880,한화
KRX:002790,아모레G
KRX:023530,롯데쇼핑
KRX:112610,씨에스윈드
KRX:030000,제일기획
KRX:004370,농심
KRX:139480,이마트
KRX:000990,DB하이텍
KRX:111770,영원무역
KRX:007660,이수페타시스
KRX:014680,한솔케미칼
KRX:010120,LS ELECTRIC
KRX:010060,OCI홀딩스
KRX:457190,이수스페셜티케미컬
KRX:009420,한올바이오파마
KRX:073240,금호타이어
KRX:006040,동원산업
KRX:298040,효성중공업
KRX:002710,TCC스틸
KRX:026960,동서
KRX:004170,신세계
KRX:051600,한전KPS
KRX:047040,대우건설
KRX:011210,현대위아
KRX:000240,한국앤컴퍼니
KRX:007310,오뚜기
KRX:042670,HD현대인프라코어
KRX:020150,롯데에너지머티리얼즈
KRX:145720,덴티움
KRX:005850,에스엘
KRX:137310,에스디바이오센서
KRX:017800,현대엘리베이
KRX:204320,HL만도
KRX:001740,SK네트웍스
KRX:003620,KG모빌리티
KRX:000150,두산
KRX:139130,DGB금융지주
KRX:298050,효성첨단소재
KRX:018670,SK가스
KRX:006110,삼아알미늄
KRX:248070,솔루엠
KRX:185750,종근당
KRX:000080,하이트진로
KRX:012510,더존비즈온
KRX:006280,녹십자
KRX:006360,GS건설
KRX:005420,코스모화학
KRX:003690,코리안리
KRX:069620,대웅제약
KRX:375500,DL이앤씨
KRX:294870,HDC현대산업개발
KRX:336260,두산퓨얼셀
KRX:003230,삼양식품
KRX:003090,대웅
KRX:004800,효성
KRX:298020,효성티앤씨
KRX:009970,영원무역홀딩스
KRX:280360,롯데웰푸드
KRX:069960,현대백화점
KRX:004000,롯데정밀화학
KRX:108320,LX세미콘
KRX:192820,코스맥스
KRX:103140,풍산
KRX:285130,SK케미칼
KRX:001440,대한전선
KRX:005300,롯데칠성
KRX:009240,한샘
KRX:004490,세방전지
KRX:353200,대덕전자
KRX:161890,한국콜마
KRX:120110,코오롱인더
KRX:001120,LX인터내셔널
KRX:267270,HD현대건설기계
KRX:039130,하나투어
KRX:395400,SK리츠
KRX:017860,DS단석
KRX:008730,율촌화학
KRX:014820,동원시스템즈
KRX:000210,DL
KRX:192080,더블유게임즈
KRX:089860,롯데렌탈
KRX:023590,다우기술
KRX:003530,한화투자증권
KRX:082640,동양생명
KRX:000670,영풍
KRX:181710,NHN
KRX:006650,대한유화
KRX:001430,세아베스틸지주
KRX:002350,넥센타이어
KRX:089590,제주항공
KRX:001800,오리온홀딩스
KRX:000400,롯데손해보험
KRX:003030,세아제강지주
KRX:214320,이노션
KRX:003240,태광산업
KRX:020560,아시아나항공
KRX:085620,미래에셋생명
KRX:010780,아이에스동서
KRX:271940,일진하이솔루스
KRX:336370,솔루스첨단소재
KRX:365550,ESR켄달스퀘어리츠
KRX:009900,명신산업
KRX:300720,한일시멘트
KRX:003540,대신증권
KRX:006120,SK디스커버리
KRX:007340,DN오토모티브
KRX:069260,TKG휴켐스
KRX:003850,보령
KRX:105630,한세실업
KRX:348950,제이알글로벌리츠
KRX:093370,후성
KRX:195870,해성디에스
KRX:281820,케이씨텍
KRX:002840,미원상사
KRX:005250,녹십자홀딩스
KRX:114090,GKL
KRX:009450,경동나비엔
KRX:100090,SK오션플랜트
KRX:001060,JW중외제약
KRX:330590,롯데리츠
KRX:456040,OCI
KRX:192650,드림텍
KRX:079160,CJ CGV
KRX:066575,LG전자우
KRX:016380,KG스틸
KRX:000815,삼성화재우
KRX:001530,DI동일
KRX:000640,동아쏘시오홀딩스
KRX:032350,롯데관광개발
KRX:001680,대상
KRX:268280,미원에스씨
KRX:003280,흥아해운
KRX:025540,한국단자
KRX:161000,애경케미칼
KRX:005440,현대지에프홀딩스
KRX:005880,대한해운
KRX:344820,KCC글라스
KRX:272450,진에어
KRX:082740,HSD엔진
KRX:064960,SNT모티브
KRX:007700,F&F홀딩스
KRX:170900,동아에스티
KRX:030190,NICE평가정보
KRX:460860,동국제강
KRX:019170,신풍제약
KRX:033240,자화전자
KRX:293940,신한알파리츠
KRX:000070,삼양홀딩스
KRX:001720,신영증권
KRX:003570,SNT다이내믹스
KRX:178920,PI첨단소재
KRX:049770,동원F&B
KRX:403550,쏘카
KRX:030610,교보증권
KRX:381970,케이카
KRX:031430,신세계인터내셔날
KRX:090460,비에이치
KRX:192400,쿠쿠홀딩스
KRX:286940,롯데정보통신
KRX:002240,고려제강
KRX:091810,티웨이항공
KRX:229640,LS에코에너지
KRX:00680K,미래에셋증권2우B
KRX:057050,현대홈쇼핑
KRX:000370,한화손해보험
KRX:210980,SK디앤디
KRX:017960,한국카본
KRX:003470,유안타증권
KRX:200880,서연이화
KRX:071320,지역난방공사
KRX:383800,LX홀딩스
KRX:014830,유니드
KRX:005180,빙그레
KRX:950210,프레스티지바이오파마
KRX:005610,SPC삼립
KRX:103590,일진전기
KRX:145990,삼양사
KRX:001470,삼부토건
KRX:012630,HDC
KRX:034310,NICE
KRX:900140,엘브이엠씨홀딩스
KRX:020000,한섬
KRX:003000,부광약품
KRX:001725,신영증권우
KRX:034120,SBS
KRX:097520,엠씨넥스
KRX:377740,바이오노트
KRX:017940,E1
KRX:284740,쿠쿠홈시스
KRX:007810,코리아써키트
KRX:002030,아세아
KRX:058650,세아홀딩스
KRX:249420,일동제약
KRX:010690,화신
KRX:183190,아세아시멘트
KRX:001390,KG케미칼
KRX:357120,코람코라이프인프라리츠
KRX:002310,아세아제지
KRX:005810,풍산홀딩스
KRX:018250,애경산업
KRX:241590,화승엔터프라이즈
KRX:001940,KISCO홀딩스
KRX:003920,남양유업
KRX:123890,한국자산신탁
KRX:001200,유진투자증권
KRX:126560,현대퓨처넷
KRX:084690,대상홀딩스
KRX:004690,삼천리
KRX:432320,KB스타리츠
KRX:017810,풀무원
KRX:011930,신성이엔지
KRX:003300,한일홀딩스
KRX:453340,현대그린푸드
KRX:090435,아모레퍼시픽우
KRX:003545,대신증권우
KRX:006220,제주은행
KRX:029530,신도리코
KRX:448730,삼성FN리츠
KRX:033270,유나이티드제약
KRX:094800,맵스리얼티1
KRX:016800,퍼시스
KRX:093050,LF
KRX:306200,세아제강
KRX:009290,광동제약
KRX:027410,BGF
KRX:003520,영진약품
KRX:006405,삼성SDI우
KRX:005389,현대차3우B
KRX:108670,LX하우시스
KRX:025860,남해화학
KRX:004430,송원산업
KRX:002320,한진
KRX:007690,국도화학
KRX:093230,이아이디
KRX:451800,한화리츠
KRX:060980,HL홀딩스
KRX:004700,조광피혁
KRX:036530,SNT홀딩스
KRX:001340,백광산업
KRX:000430,대원강업
KRX:075580,세진중공업
KRX:001820,삼화콘덴서
KRX:000490,대동
KRX:00088K,한화3우B
KRX:005090,SGC에너지
KRX:003960,사조대림
KRX:003220,대원제약
KRX:000680,LS네트웍스
KRX:298690,에어부산
KRX:005690,파미셀
KRX:051905,LG생활건강우
KRX:005950,이수화학
KRX:001880,DL건설
KRX:001780,알루코
KRX:012030,DB
