Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005930.KS,KR7005930003,삼성전자,KOSPI,,72900,2,-900,-1.22,73700,73700,72800,7495364,548656332800,435197147895000,5969782550,STK
000660.KS,KR7000660001,SK하이닉스,KOSPI,,148800,2,-2500,-1.65,150300,151100,147500,1795212,267697400100,108326751912000,728002365,STK
373220.KS,KR7373220003,LG에너지솔루션,KOSPI,,400000,1,2500,0.63,397500,401000,392000,86166,34223000500,93600000000000,234000000,STK
207940.KS,KR7207940008,삼성바이오로직스,KOSPI,,817000,2,-4000,-0.49,819000,824000,815000,32316,26471540000,58149158000000,71174000,STK
005935.KS,KR7005931001,삼성전자우,KOSPI,,62400,2,-100,-0.16,62800,62800,62200,431241,26950859500,51348130080000,822886700,STK
005380.KS,KR7005380001,현대차,KOSPI,,240000,2,-12500,-4.95,250000,253000,239500,1225073,300736800500,50767561440000,211531506,STK
000270.KS,KR7000270009,기아,KOSPI,,113800,2,-3800,-3.23,115600,118700,113500,1104889,128554936300,45752630301400,402044203,STK
068270.KS,KR7068270008,셀트리온,KOSPI,,180500,2,-1900,-1.04,182500,183000,180000,247855,44869177000,39357982041000,218049762,STK
005490.KS,KR7005490008,POSCO홀딩스,KOSPI,,437000,2,-7500,-1.69,443000,443000,433500,319724,139846947500,36957627510000,84571230,STK
051910.KS,KR7051910008,LG화학,KOSPI,,506000,2,-2000,-0.39,507000,508000,491500,190975,95405912000,35719725558000,70592343,STK
035420.KS,KR7035420009,NAVER,KOSPI,,202500,2,-1000,-0.49,203500,205500,202500,412008,84002751000,32887740285000,162408594,STK
028260.KS,KR7028260008,삼성물산,KOSPI,,163600,2,-6800,-3.99,170300,171000,163500,483736,80672793800,30362797212000,185591670,STK
006400.KS,KR7006400006,삼성SDI,KOSPI,,393500,2,-1000,-0.25,394000,396000,386000,152869,59688041000,27058842555000,68764530,STK
105560.KS,KR7105560007,KB금융,KOSPI,,65700,2,-3100,-4.51,69000,69300,65700,877224,58883510000,26510677430400,403511072,STK
035720.KS,KR7035720002,카카오,KOSPI,,58700,1,500,0.86,57900,60000,57800,1503615,88912466100,26121446406900,444999087,STK
003670.KS,KR7003670007,포스코퓨처엠,KOSPI,,300500,1,4000,1.35,292000,303500,286000,425683,125342978000,23277697610000,77463220,STK
012330.KS,KR7012330007,현대모비스,KOSPI,,238500,2,-5500,-2.25,244000,246000,238500,201027,48789163500,22336739919000,93655094,STK
055550.KS,KR7055550008,신한지주,KOSPI,,42800,2,-2250,-4.99,45100,45150,42700,1290535,56367807900,21946105358800,512759471,STK
032830.KS,KR7032830002,삼성생명,KOSPI,,82300,2,-2700,-3.18,85000,85700,82100,320722,26811941600,16460000000000,200000000,STK
086790.KS,KR7086790003,하나금융지주,KOSPI,,55300,2,-3600,-6.11,59500,59500,55100,1190830,68241011760,16167319869400,292356598,STK
