Symbol,Name,Sector,Industry,Market Cap,Close,Open,Volume,Fluctuation Rate
MSFT,Microsoft,Information Technology,Systems Software,3020919668736,406.55999755859375,408.1400146484375,21804000.0,-0.38712623931391305
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2839147708416,183.86000061035156,183.5500030517578,65295400.0,0.1688899773574704
NVDA,Nvidia,Information Technology,Semiconductors,1794652766208,726.5800170898438,738.6900024414062,41800500.0,-1.6393866590231911
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,1781869707264,142.77000427246094,143.13999938964844,37558600.0,-0.25848478326475194
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,1781487763456,143.94000244140625,144.4600067138672,26691600.0,-0.359964175753441
AMZN,Amazon,Consumer Discretionary,Broadline Retail,1763780460544,169.8000030517578,170.5800018310547,49815300.0,-0.45726273357025693
META,Meta Platforms,Communication Services,Interactive Media & Services,1233990975488,484.0299987792969,475.2799987792969,24187500.0,1.8410200350263823
LLY,Eli Lilly and Company,Health Care,Pharmaceuticals,719365865472,757.780029296875,755.7999877929688,2506100.0,0.2619795628322542
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,638391156736,200.4499969482422,189.16000366210938,120344800.0,5.968488616811288
AVGO,Broadcom Inc.,Information Technology,Semiconductors,592231071744,1265.0699462890625,1279.949951171875,2183700.0,-1.1625458377641185
V,Visa Inc.,Financials,Transaction & Payment Processing Services,577152614400,280.9800109863281,277.6499938964844,4833900.0,1.1993578833231573
JPM,JPMorgan Chase,Financials,Diversified Banks,517431984128,179.8699951171875,176.14999389648438,8720200.0,2.111837269145298
UNH,UnitedHealth Group,Health Care,Managed Health Care,481774927872,520.8800048828125,517.3400268554688,2292100.0,0.6842652498513762
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,455767588864,169.2899932861328,169.8000030517578,5643800.0,-0.3003591027436794
MA,Mastercard,Financials,Transaction & Payment Processing Services,439653367808,471.2799987792969,465.8299865722656,2354100.0,1.1699573587209962
XOM,ExxonMobil,Energy,Integrated Oil & Gas,411911847936,103.7300033569336,100.5999984741211,23190400.0,3.1113369088347254
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,380157657088,157.9199981689453,155.97999572753906,7461000.0,1.2437507978875606
PG,Procter & Gamble,Consumer Staples,Personal Care Products,369447632896,157.00999450683594,156.3000030517578,6249200.0,0.4542491626458993
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,359369179136,361.0799865722656,358.8999938964844,2661900.0,0.6074095048354929
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,321485373440,724.510009765625,721.489990234375,1263800.0,0.41858093280946984
